Date,BTC,VIX,BTC_Return,VIX_Change
2020-01-03,7344.88427734375,14.020000457763672,0.05145166344511276,0.12429832859211132
2020-01-06,7769.21923828125,13.850000381469727,0.04829126010697582,-0.01212553999595678
2020-01-07,8163.6923828125,13.789999961853027,0.050773846435889336,-0.004332160141813035
2020-01-08,8079.86279296875,13.449999809265137,-0.010268587535248286,-0.024655558631502927
2020-01-09,7879.0712890625,12.539999961853027,-0.024850855645838776,-0.0676579821796911
2020-01-10,8166.55419921875,12.5600004196167,0.03648690303834745,0.0015949328408704222
2020-01-13,8144.1943359375,12.319999694824219,-0.005895616628883604,-0.01910833732279482
2020-01-14,8827.7646484375,12.390000343322754,0.08393344808628167,0.005681870960430491
2020-01-15,8807.0107421875,12.420000076293945,-0.002350980919464507,0.0024212858869983034
2020-01-16,8723.7861328125,12.319999694824219,-0.009449813541879348,-0.008051560455349493
2020-01-17,8929.0380859375,12.100000381469727,0.02352785247141642,-0.017857087565263163
2020-01-21,8745.89453125,12.850000381469727,0.010193531591149663,0.06198346912026298
2020-01-22,8680.8759765625,12.90999984741211,-0.007434180055016837,0.004669219000873026
2020-01-23,8406.515625,12.979999542236328,-0.03160514587505292,0.005422129794854458
2020-01-24,8445.4345703125,14.5600004196167,0.004629616722148233,0.12172580378289855
2020-01-27,8909.8193359375,18.229999542236328,0.036407519395889265,0.25206037203646203
2020-01-28,9358.58984375,16.280000686645508,0.05036808165148732,-0.10696647858234709
2020-01-29,9316.6298828125,16.389999389648438,-0.004483577295090302,0.006756676803653994
2020-01-30,9508.9931640625,15.489999771118164,0.02064730312029206,-0.054911510191921864
2020-01-31,9350.529296875,18.84000015258789,-0.016664631518128026,0.216268588183969
2020-02-03,9293.521484375,17.969999313354492,-0.005441113304621492,-0.046178388120336256
2020-02-04,9180.962890625,16.049999237060547,-0.012111511652417528,-0.106844749563629
2020-02-05,9613.423828125,15.149999618530273,0.047104093835473426,-0.05607474525307843
2020-02-06,9729.8017578125,14.960000038146973,0.012105773319493585,-0.012541226743722711
2020-02-07,9795.943359375,15.470000267028809,0.006797836503646293,0.03409092430356764
2020-02-10,9856.611328125,15.039999961853027,-0.025706324471686526,-0.02779575292524339
2020-02-11,10208.236328125,15.180000305175781,0.03567402510806805,0.009308533489218451
2020-02-12,10326.0546875,13.739999771118164,0.011541499979814906,-0.09486169335363148
2020-02-13,10214.3798828125,14.149999618530273,-0.010814856987217514,0.02983987294337087
2020-02-14,10312.1162109375,13.680000305175781,0.009568503349817403,-0.03321550007245233
2020-02-18,10141.99609375,14.829999923706055,0.0466302236506857,0.08406429772484536
2020-02-19,9633.38671875,14.380000114440918,-0.05014884351152826,-0.030343884799743148
2020-02-20,9608.4755859375,15.5600004196167,-0.0025859164113087862,0.08205843503372323
2020-02-21,9686.44140625,17.079999923706055,0.008114275736580634,0.09768634081610128
2020-02-24,9650.1748046875,25.030000686645508,-0.027642741538078885,0.46545672122078363
2020-02-25,9341.705078125,27.850000381469727,-0.031965195740564556,0.11266478695419302
2020-02-26,8820.5224609375,27.559999465942383,-0.05579095174048332,-0.010412959122266252
2020-02-27,8784.494140625,39.15999984741211,-0.0040846016176541156,0.4208998768597427
2020-02-28,8672.455078125,40.11000061035156,-0.012754184897438958,0.024259467993900774
2020-03-02,8869.669921875,33.41999816894531,0.03587941221856461,-0.16679138218910172
2020-03-03,8787.7861328125,36.81999969482422,-0.009231886844013548,0.10173553896356191
2020-03-04,8755.24609375,31.989999771118164,-0.0037028710724991143,-0.13117870623950623
2020-03-05,9078.7626953125,39.619998931884766,0.03695117168590434,0.23851201048320303
2020-03-06,9122.5458984375,41.939998626708984,0.004822595830994203,0.05855627858074386
2020-03-09,7923.64453125,54.459999084472656,-0.022751484424786028,0.29852171835290564
2020-03-10,7909.7294921875,47.29999923706055,-0.0017561412564156553,-0.13147263987842284
2020-03-11,7911.43017578125,53.900001525878906,0.00021501160000858555,0.13953493436099507
2020-03-12,4970.7880859375,75.47000122070312,-0.37169538560117077,0.40018551176604067
2020-03-13,5563.70703125,57.83000183105469,0.11928067241286833,-0.2337352471753954
2020-03-16,5014.47998046875,82.69000244140625,-0.07006915676163483,0.4298806817087415
2020-03-17,5225.62939453125,75.91000366210938,0.04210793838741411,-0.08199296866753814
2020-03-18,5238.4384765625,76.44999694824219,0.0024512036855608432,0.00711359847295534
2020-03-19,6191.19287109375,72.0,0.18187755736638023,-0.05820794147650399
2020-03-20,6198.7783203125,66.04000091552734,0.001225199953657663,-0.0827777650621202
2020-03-23,6416.31494140625,61.59000015258789,0.10052048673231173,-0.06738341461611286
2020-03-24,6734.8037109375,61.66999816894531,0.04963733427047878,0.0012988799506288284
2020-03-25,6681.06298828125,63.95000076293945,-0.007979552925792555,0.03697101770212585
2020-03-26,6716.4404296875,61.0,0.005295181540467819,-0.0461298002774857
2020-03-27,6469.79833984375,65.54000091552734,-0.03672214358569481,0.07442624451684177
2020-03-30,6429.841796875,57.08000183105469,0.08574723804008189,-0.1290814611885116
2020-03-31,6438.64453125,53.540000915527344,0.0013690436954885143,-0.06201823409195106
2020-04-01,6606.7763671875,57.060001373291016,0.026112924097839496,0.06574524463152964
2020-04-02,6793.62451171875,50.90999984741211,0.028281287899985408,-0.10778130700777788
2020-04-03,6733.38720703125,46.79999923706055,-0.008866740365705117,-0.0807307134682792
2020-04-06,7271.78125,45.2400016784668,0.0707764242948763,-0.033333281709936435
2020-04-07,7176.41455078125,46.70000076293945,-0.013114627068677276,0.032272303941305536
2020-04-08,7334.0986328125,43.349998474121094,0.02197254365887824,-0.07173452321390283
2020-04-09,7302.08935546875,41.66999816894531,-0.004364445986660415,-0.03875433366344183
2020-04-13,6845.03759765625,41.16999816894531,-0.018082418492216368,-0.011999040604053213
